CITY/COMMUNITY**,Cases,Case Rate1,Deaths,Death Rate2
Los Angeles - Miracle Mile,100,556,5,28
Los Angeles - Mission Hills,402,1666,15,62
Los Angeles - Mt. Washington,269,1114,6,25
Los Angeles - North Hills,980,1592,34,55
Los Angeles - North Hollywood,1785,1179,41,27
Los Angeles - Northridge,776,1112,37,53
Los Angeles - Pacific Palisades,89,418,3,14
Los Angeles - Pacoima,1743,2264,25,32
Los Angeles - Palisades Highlands,15,390,0,0
Los Angeles - Palms,362,825,26,59
Los Angeles - Panorama City,1525,2027,66,88
Los Angeles - Park La Brea,59,434,1,7
Los Angeles - Pico-Union,1189,2842,73,174
Los Angeles - Playa Del Rey,16,501,0,0
Los Angeles - Playa Vista,76,694,0,0
Los Angeles - Porter Ranch,190,534,6,17
Los Angeles - Rancho Park,49,747,1,15
Los Angeles - Regent Square,20,719,0,0
Los Angeles - Reseda,1261,1646,55,72
Los Angeles - Reseda Ranch,45,971,0,0
Los Angeles - Reynier Village,26,615,0,0
Los Angeles - San Pedro*,1394,1786,22,28
Los Angeles - Shadow Hills,27,608,0,0
Los Angeles - Sherman Oaks,556,637,14,16
Los Angeles - Silverlake,401,910,14,32
Los Angeles - South Carthay,69,651,1,9
Los Angeles - South Park,1212,3193,18,47
Los Angeles - St Elmo Village,85,1854,7,153
Los Angeles - Studio City,157,700,9,40
Los Angeles - Sun Valley,769,1465,13,25
Los Angeles - Sunland,282,1382,24,118
Los Angeles - Sycamore Square,3,464,0,0
Los Angeles - Sylmar*,1778,2158,57,69
Los Angeles - Tarzana,435,1409,30,97
Los Angeles - Temple-Beaudry,743,1882,17,43
Los Angeles - Thai Town,87,887,0,0
Los Angeles - Toluca Lake,55,632,0,0
Los Angeles - Toluca Terrace,14,1072,1,77
Los Angeles - Toluca Woods,11,592,0,0
Los Angeles - Tujunga,224,805,11,40
Los Angeles - University Hills,34,992,1,29
Los Angeles - University Park,478,1741,14,51
Los Angeles - Valley Glen,305,1016,11,37
Los Angeles - Valley Village,351,1420,22,89
Los Angeles - Van Nuys,1552,1665,51,55
Los Angeles - Venice,149,440,2,6
Los Angeles - Vermont Knolls,457,2657,9,52
Los Angeles - Vermont Square,208,2716,2,26
Los Angeles - Vermont Vista,1086,2637,15,36
Los Angeles - Vernon Central,1804,3469,26,50
Los Angeles - Victoria Park,113,1345,2,24
Los Angeles - View Heights,22,596,2,54
Los Angeles - Watts,1047,2453,14,33
Los Angeles - Wellington Square,67,1363,0,0
Los Angeles - West Adams,546,1976,30,109
Los Angeles - West Hills,293,723,26,64
Los Angeles - West Los Angeles,313,832,10,27
Los Angeles - West Vernon,1317,2455,30,56
Los Angeles - Westchester,244,473,12,23
Los Angeles - Westlake,1625,2738,111,187
Los Angeles - Westwood,196,362,5,9
Los Angeles - Wholesale District*,1722,4766,19,53
Los Angeles - Wilmington,909,1609,8,14
Los Angeles - Wilshire Center,636,1268,26,52
Los Angeles - Winnetka,679,1311,10,19
Los Angeles - Woodland Hills,472,694,21,31
Unincorporated - Acton,37,464,2,25
Unincorporated - Agua Dulce,15,361,0,0
Unincorporated - Altadena,342,784,11,25
Unincorporated - Anaverde,5,332,0,0
Unincorporated - Angeles National Forest,3,241,0,0
Unincorporated - Arcadia,54,677,0,0
Unincorporated - Athens-Westmont,828,1951,13,31
Unincorporated - Athens Village,115,2348,5,102
Unincorporated - Avocado Heights,135,1993,1,15
Unincorporated - Azusa,269,1689,2,13
Unincorporated - Bassett,389,2625,7,47
Unincorporated - Bouquet Canyon,1,93,1,93
Unincorporated - Bradbury,4,3704,1,926
Unincorporated - Canyon Country,61,789,0,0
Unincorporated - Castaic*,1833,6741,2,7
Unincorporated - Cerritos,4,681,0,0
Unincorporated - Charter Oak,0,0,0,0
Unincorporated - Claremont,3,427,0,0
Unincorporated - Covina,232,1379,2,12
Unincorporated - Covina (Charter Oak),174,1324,0,0
Unincorporated - Del Aire,36,819,1,23
Unincorporated - Del Rey,1,314,0,0
Unincorporated - Del Sur,3,124,1,41
Unincorporated - Desert View Highlands,12,481,1,40
Unincorporated - Duarte,66,1491,1,23
Unincorporated - East Covina,2,608,0,0
Unincorporated - East La Mirada,63,1190,0,0
Unincorporated - East Lancaster,0,0,0,0
Unincorporated - East Los Angeles,3568,2848,68,54
Unincorporated - East Pasadena,21,328,1,16
Unincorporated - East Rancho Dominguez,330,2156,6,39
Unincorporated - East Whittier,49,923,0,0
Unincorporated - El Camino Village,93,1058,2,23
Unincorporated - El Monte,4,2759,0,0
Unincorporated - Elizabeth Lake,5,301,0,0
